DATE,Server Name,Data IN,Data OUT,Total
08-03-17,vpc-prod-vertex01,53.86 GiB,94.16 GiB,148.02 GiB
08-03-17,vpc-prod-vertex02,93.77 GiB,165.73 GiB,259.50 GiB
08-03-17,vpc-prod-vertex03,40.80 GiB,72.74 GiB,113.54 GiB
08-03-17,vpc-prod-vertex04,26.49 GiB,46.57 GiB,73.06 GiB
08-03-17,vpc-prod-vertex05,75.20 GiB,131.47 GiB,206.68 GiB
08-03-17,vpc-prod-vertex06,103.84 GiB,178.57 GiB,282.41 GiB
08-03-17,vpc-prod-vertex07,91.06 GiB,162.29 GiB,253.35 GiB
08-03-17,vpc-prod-vertex08,112.24 GiB,197.36 GiB,309.60 GiB
08-03-17,vpc-prod-vertex09,26.86 GiB,43.91 GiB,70.77 GiB
08-03-17,vpc-prod-vertex10,30.16 GiB,51.20 GiB,81.36 GiB
08-03-17,vpc-prod-vertex11,64.72 GiB,117.24 GiB,181.96 GiB
08-03-17,vpc-prod-vertex12,45.07 GiB,77.17 GiB,122.24 GiB
08-03-17,vpc-prod-vertex13,77.93 GiB,139.78 GiB,217.71 GiB
08-03-17,vpc-prod-vertex14,176.42 GiB,291.42 GiB,467.84 GiB
08-03-17,vpc-prod-vertex15,85.12 GiB,149.38 GiB,234.50 GiB
08-03-17,vpc-prod-vertex16,27.32 GiB,48.27 GiB,75.59 GiB
08-03-17,vpc-prod-vertex21,170.88 GiB,308.37 GiB,479.24 GiB
08-03-17,vpc-prod-vertex23,113.56 GiB,208.78 GiB,322.34 GiB
08-03-17,vpc-prod-vertex25,210.50 GiB,369.34 GiB,579.84 GiB
08-03-17,vpc-prod-vertex26,116.38 GiB,213.49 GiB,329.87 GiB
08-03-17,vpc-prod-vertex28,132.62 GiB,234.91 GiB,367.52 GiB
08-03-17,vpc-prod-vertex29,158.82 GiB,285.91 GiB,444.74 GiB
08-03-17,vpc-prod-vertex31,131.90 GiB,230.99 GiB,362.89 GiB
08-03-17,vpc-prod-vertex32,154.60 GiB,276.56 GiB,431.17 GiB
08-03-17,vpc-prod-vertex34,162.58 GiB,290.88 GiB,453.46 GiB
08-03-17,vpc-prod-vertex35,184.82 GiB,331.42 GiB,516.23 GiB
08-03-17,vpc-prod-vertex40,176.55 GiB,308.95 GiB,485.50 GiB
08-03-17,vpc-prod-vertex41,198.76 GiB,354.99 GiB,553.75 GiB
08-03-17,vpc-prod-vertex43,184.49 GiB,331.29 GiB,515.78 GiB
08-03-17,vpc-prod-vertex46,61.17 GiB,109.37 GiB,170.54 GiB
08-03-17,vpc-prod-vertex49,191.98 GiB,335.68 GiB,527.65 GiB
08-03-17,vpc-prod-vertex52,124.48 GiB,229.60 GiB,354.08 GiB
08-03-17,vpc-prod-vertex55,185.38 GiB,299.89 GiB,485.27 GiB
